,Pyruvic acid,Lactate,Citric acid,trans-Aconitate,Oxoglutaric acid,Succinic acid,Fumaric acid,Malic acid,Itaconic acid,GABA,Glycerylphosphorylethanolamine,Aspartic Acid,Glutamate,Proline,Phenylalanine,Serine,Tyrosine,Threonine,Tryptophan,Glutamine,Glycine,Isoleucine,Valine,Leucine,Alanine,Histidine,Arginine,Ornithine,Citrulline,N2-Acetyl-L-ornithine,Asparagine,Nicotinamide adenine dinucleotide (NAD),Adenine,Inosine,Adenosine5'-monophosphate,cAMP,Ergothioneine,L-2-Aminoadipic acid,Diaminopimelic acid,D-Alanyl-D-alanine,Lysine
345,25664992.62,241578.4836,495695736,19278320.04,2005971.721,2314293.607,658165.6148,3284222.664,5930090.984,0,4448475.738,20792173.85,144711973.3,196243.1557,113898.6885,2245596.352,876134.2213,2150551.844,333741.8033,67535797.91,35893.36066,1650058.156,3566802.295,1650058.156,3652950.328,228729.6721,214705.5738,58823.85246,4448475.738,834909.918,112237.418,333221.1066,260001.2295,399399.1803,1480256.475,32318.45533,86868503.48,13649281.02,776185.2459,4124647.008,3739286.803
345,16598379.39,40266588.48,388969755.8,24711102.36,17106714.29,407532.9054,137956.3514,809530.8784,7198625.203,0,2326453.919,11360751.32,107206715.4,248851.2162,32416.55405,1901878.818,321688.3108,1924844.291,119454.7973,32546669.93,89936.52027,931928.9189,970366.8581,931928.9189,1364777.804,124507.3649,107309.8311,114790.5743,2055818.615,24192601.01,154982.1959,79283.61486,1308091.757,409282.5,469639.4257,6124.766554,46158879.7,7006901.52,7531121.757,2486746.216,1780053.074
345,28857453.82,500404.7453,510696476.5,21121271.78,1957076.059,1854506.662,628408.4718,3177661.126,6271219.142,0,2163149.115,19389854.24,151542135.5,157009.6649,84545.91153,1552783.592,568815.1609,1160349.45,277587.9491,56188390.46,27103.35121,1535728.432,2907552.145,1535728.432,2693678.968,148985.7105,123780.0804,44971.12601,2982458.606,690668.3244,89071.24665,108101.9839,219250.0536,453964.1019,573676.2466,14755.7067,50630354.4,9890436.193,429965.2279,2255300.509,1949455.979
345,33627740.54,1974638.588,532467095.9,25208444.01,3156792.625,2190427.243,50116.02902,2403261.135,7534333.179,0,3612429.459,19980166.5,152257893.3,213370.2507,107357.9683,1998836.992,694220.7388,844961.5172,348992.4142,63358872.43,52280.62005,1923938.311,3487960.686,1923938.311,4262180.303,247045.9235,222770.8971,85046.39842,3975324.103,1446741.768,149294.5251,257571.9657,281358.5224,570250.0132,1444127.018,19979.84565,55324557.03,6628518.879,704114.6438,3471098.905,2759834.406
346,45757481.72,1187632.899,545910050.9,22533880.12,1126792.811,1604180.769,1301956.42,11100056.72,7282843.225,115827.071,2078368.314,13370041.78,177329366.3,119328.1953,349543.2249,2010966.302,977844.6746,7021977.249,296253.1065,57408396.3,35827.45562,1462696.686,3574637.13,1462696.686,10166115.71,112777.0118,134288.5207,69528.46154,2980315.917,452332.3669,104110.1183,282033.8166,426954.5858,88838.3432,1064910.976,10776.80414,13102936.07,15916808.96,30860885.33,5286515.059,7731320.059
346,20236029.09,318312.6418,332448713.1,12551211.49,642594.201,1506478.067,707400.9278,7890431.83,3885774.665,248140.4381,1140423.441,9041923.028,83990757.56,59782.73196,119046.2242,1626791.985,730949.1495,5121270.425,202031.018,39008288.74,25031.09536,982242.4485,2345658.286,982242.4485,6983408.969,105316.7784,134534.5361,64067.62887,2301929.884,315098.9691,88953.71134,399183.0541,372135.8119,79654.17526,2042983.647,10943.84188,16090718.78,12577608.52,24853141.16,5955702.642,8053566.649
346,36799220.53,430207.1053,460410963.2,17501237.37,872728.4211,1294242.632,1350142.895,10783540.26,5483861.842,132460.2632,1603695.789,13162631.84,143845158.9,90758.68421,277668.9474,2016933.947,909080.5263,6451717.105,256826.8421,57142174.74,37420.26316,1486293.947,3349812.632,1486293.947,10007918.68,109794.4737,128656.5789,62743.42105,2842090.263,307299.4737,104887.8947,252293.6842,397971.3158,95830.26316,1380138.158,10226.78684,14376753.95,15485606.05,25464111.32,5049990,7877603.684
346,45610759.48,665924.5028,605098648.4,26592377.24,1020340.856,2190404.171,1244027.072,10035947.24,8299583.867,318938.6188,1880861.436,12040780.19,194943093.3,113392.3757,291984.3646,2090930.138,994138.674,4081102.707,297860.5525,59532350.97,73963.75691,1745398.26,4027464.945,1745398.26,9925372.624,142362.1823,141780.5801,126919.6409,3978480,503968.3425,148709.6685,255644.2541,505683.0663,109100.5525,1686937.21,14485.70552,11779400.14,15556154.42,27660630.08,5778408.481,6813760.691
346,24005875.67,43344660.33,413814571.1,28335304.07,24654605.07,748748,926335.6667,3625047.067,8266760.333,109819.6,342438.0667,22147404.4,151540577.5,239531.6,48650.06667,3569249.933,550759.7333,2544589.667,54603.26667,27701602.87,201440.8,693426.8,1221382.067,693426.8,4128278,173368.8,122419.7333,723765.5333,3216171.933,19444514.47,407108.5333,415368.8,1291045.8,63444.33333,1306751.6,1606.960667,8961364.867,4910696.267,70042148.73,4390960.933,3289578.6
346,42084064.69,714718.125,503969987.8,21630149.06,1145254.688,1713576.563,1760673.75,16869321.56,6690399.375,178478.4375,2188436.25,16687419.38,168557461.9,102939.375,293761.875,2091271.875,953101.875,5995378.125,259318.125,68834050.31,40486.875,1655805.938,3567557.813,1655805.938,11303366.25,118346.25,151274.0625,74280.9375,3946707.188,411520.3125,128895.9375,235125,320564.0625,113891.25,1209728.438,11887.21875,14956311.56,15637545,24895756.88,5308225.313,7133517.188
367,55427302.44,2813072.594,513568524.4,24192585.34,3946929.023,1201161.541,1945379.774,10362899.44,7239652.895,1930368.496,550299.812,10762963.65,234154078,462811.3534,296732.0301,2915790.677,1152565.94,3106611.316,244506.4286,131135292.1,67509.81203,2502707.594,3406304.662,2502707.594,6393972.068,204003.2707,167280.2256,68014.73684,4743577.556,802038.9474,150549.4737,94284.47368,443828.9098,124293.3835,0,33671.25226,5995286.165,12667812.97,3690590.977,3691191.429,4857963.496
367,39256934.87,136094350.2,552844265.2,31336543.17,44830152.78,1197505.435,2239504.826,18835675.43,9831791.87,1041667.957,637554.2609,4685588.217,221890441.8,501839.6087,149824.3043,2341523.609,566027.4783,2718507,121494.5217,78647469.52,196951.1739,1632142.696,2220818.217,1632142.696,15413832.26,199634.2174,155174.6087,142674.7826,5092826.87,47932745.35,151213.1739,165385.9565,2108935.304,116033.7391,0,7236.641739,2848587.261,8336121.391,21945748.96,3829618.435,4223899.565
367,1091319.619,3114206.3,139318936.1,4562950.695,1496186.704,1268855.919,830089.843,4475741.166,1491873.027,112416.0538,435038.4081,7721758.789,151235607.5,194025.9417,4090130.987,2641305.202,5499734.865,3585699.35,218068.5874,32875729.84,30285.26906,6748080.471,4417994.865,6748080.471,3187929.484,1427998.049,171041.3677,156578.3408,10463678.48,15590451.19,236389.5067,79330.96413,151011.2556,102331.8161,106588.5202,502.4213004,5881780.157,55411437.24,28592492.62,6846798.565,8779382.892
367,49007630.73,563516.7135,542633089,26768272.58,2400480.253,666023.427,1277066.629,6213642.303,8355454.466,1521439.045,399320.3933,9141492.219,209509131,333317.6124,236429.2416,2267750.73,1022201.882,2584111.348,227649.9438,107647721.4,40541.79775,2434098.539,3583595.14,2434098.539,5236254.607,197763.6236,172822.6685,47179.80337,4398795.253,488622.4719,139194.1854,26093.17416,234440.8989,104036.2079,210009.7753,36671.1573,7416824.157,10476536.88,3068175.927,3483525.421,4692998.596
367,34412159.6,72858631.49,453936356,24898073.84,38860496.23,801268.4106,1801573.808,5061566.225,8379686.722,118395.6954,250818.5762,2510469.536,115862123.6,413231.0265,86362.74834,1881686.225,262321.5894,1540538.344,54666.35762,29096108.74,169179.6358,717610.1325,1031304.636,717610.1325,7813502.881,106003.2119,68224.76821,179672.9801,0,37673942.98,181824.5364,64258.21192,816377.3841,39833.84106,0,3072.75894,915998.0464,1865723.841,15587905.13,2426799.238,1860507.219
367,16382902.34,93405647.5,417365856.2,32323881.45,37730707.9,664738.871,1324452.339,3583824.839,9480145.081,161944.8387,450354.1935,1954862.339,123880678.2,307261.9355,64881.37097,2278215.323,221537.3387,1275564.435,32084.51613,31946146.77,242380.5645,673882.1774,976089.4355,673882.1774,6523588.145,98849.19355,76756.93548,149747.2581,2222516.29,18998629.6,159759.0323,580195,3781152.419,66901.29032,0,3663.470161,1609846.452,2846603.065,11164709.03,2478109.274,2162865.242
372,46780042.9,417514.2478,772354666.3,33127010.58,914005.0885,1189579.912,917514.6239,4507962.08,10001469.16,433817.1239,933873.7168,7098039.358,153055287.9,169774.7788,321327.2788,2834612.389,1158492.013,7695182.389,497358.1858,80408146.06,32870.77434,2158677.478,5928239.735,2158677.478,7722857.124,163719.4248,212387.1239,71339.13717,3441657.611,464069.8009,135072.9425,95512.36726,290536.5265,153777.0796,1906071.239,7215.106858,55292682.01,19403032.63,18897571.19,6999844.646,8728752.611
372,16159487.95,91023684.94,452150791.1,22543378.14,25684817.37,1553283.205,1680790.833,17540772.76,7139286.987,1362514.295,1265326.474,5273389.423,141949017,317826.6667,62570.96154,1973292.821,606745.1923,2135525.897,98847.69231,68390689.23,78316.47436,1479713.654,1662175.449,1479713.654,6936061.282,193390.5769,171680.3846,201131.4744,4407867.115,41411505.38,118548.9744,298350.3205,2106447.115,132324.359,873007.2436,2933.707051,43695566.54,12093895.71,83893845.26,4539283.974,4357411.667
372,33867751.23,355138.9672,513991421,22829070,879787.0328,1198078.525,663837.7377,5184246.984,6630563.951,373640.0656,504183.1967,6131433,118756003.4,117516.7869,239187.2459,1800604.967,793720.3279,4977902.311,267733.3279,53532764.46,23940.14754,1439919.836,3847347.738,1439919.836,5163425.066,99039.4918,110970.8852,41078.5082,2804680.82,346444.8197,54206.01639,379132.6721,173264.0656,92868.4918,868754.2131,2947.262459,19539599.7,10602480.2,8690398.525,2892854.115,3846889.525
372,28558436.06,490531.8584,510333610.1,18266160,1033254.336,1471215.442,808810.0442,5836408.23,5869094.292,432944.4248,647649.823,5814312.345,106817290.2,115779.8673,200629.7788,2062814.425,879311.2832,5500451.195,311259.115,59269772.65,24885.30973,1385653.451,3760931.637,1385653.451,5037385.265,112540.708,143957.8761,45519.55752,2651142.124,392495.0885,80448.93805,53941.37168,206197.9204,131809.6903,1632225.752,4696.780973,43715292.26,15774716.46,13040282.43,4803635.752,6153010.619
372,28563419.21,58586843.53,482503468.8,19383349.82,21342737.84,2292536.053,2871635.684,19068542.84,6180008.132,924551.4474,504264.3158,8618852.289,176679168.9,282929.8421,0,2161942.026,552619.7368,2569199.368,102471.0789,60908639.29,67728.15789,1333117.5,1390748.526,1333117.5,4378123.895,172759.3421,147731.4474,229559.2895,4169026.342,43273421.05,95870.21053,315915.0789,1662177,154857.7105,826780.2632,4674.580263,40236419.76,13107423.71,123748190.2,4857866.605,4736395.342
372,36546504.4,2835297.113,574815294.3,23048383.64,1412398.755,1386879.17,902794.6981,5151504.226,6892185.113,356856.3962,605059.3585,6336185.547,125282388.6,137282.4906,273291.0566,2022074.377,833379.5094,5070075.792,283119.4528,62512853.26,26944.18868,1430624.094,3726105.962,1430624.094,5020516.019,102153.6792,115755.9057,77243.66038,2748053.83,365828.6604,121406.3774,111454.6981,217957.5283,107660.3208,1093876.528,3987.520755,30103836.57,15592418.43,13487258.15,4102756.132,5169722.717
374,49857601.13,547573.7903,576882810.4,32036672.34,2548074.597,610181.5323,768047.5,3490235.242,9800756.048,43208.70968,8076340.161,12344507.82,219335685.2,129879.8387,253241.2903,2557793.629,1366412.016,3119126.29,274835.8871,84022234.11,46438.62903,1420247.258,2543751.774,1420247.258,5328117.903,104655.2419,113242.3387,71985.24194,3440205.645,424446.5323,209281.2097,90808.54839,761070.4839,374875.5645,538781.7742,143888.7113,56304803.15,16292464.6,1797415.968,2692855,5527201.935
374,62273200.76,738154.2414,668085002.3,36317248.76,2979065.897,903206.5862,1027978.448,4300461,10943310.93,74953.24138,5821418.483,13307479.86,268735196.2,161422.3448,241845.6207,2048371.448,1295884.966,3187753.345,237039,85701696.41,60520.86207,1366369.552,2050975.034,1366369.552,4493113.862,102628.8621,102103.1379,75028.34483,3650390.586,427426.2414,190637.5862,105770.6897,764215.1379,439167.4138,536776.8621,100173.2297,56204804.59,15541657.24,1612834.034,2553880.241,5182188
374,73035983.94,647652.5,778881048.8,52201098.65,3347604.615,538112.5962,79604.03846,2379883.846,15427430.19,48400,4633462.308,10778179.71,262806764.4,137137.2115,277555.3846,2285085,1195759.231,3038845.192,387293.0769,69124752.02,61616.92308,1462645.673,2651936.058,1462645.673,4265459.423,90098.46154,96008.84615,88260.19231,3063242.981,368561.3462,291063.1731,46643.17308,947046.0577,466455,573644.7115,86088.94038,41521499.04,11439316.73,1196573.654,2521244.423,4082121.154
374,40140186.74,73635183.42,226656627.5,10143754.83,18782131.61,2229745.772,2792541.946,21251347.75,3601861.409,626650.0671,5612467.248,14403230.94,205973179.8,206678.557,101944.5302,2365018.087,902858.9597,3586817.617,86900.73826,65650413.72,107560.0671,1096613.255,1482319.027,1096613.255,7206780.302,113833.3893,110008.4899,143799.1611,5132137.852,24738133.29,142142.5168,112493.4564,722345.6376,265355.4362,0,34724.84799,51173133.22,16836622.15,13326473.05,3134578.087,4250084.396
374,68316295.38,433696.1538,749565287.3,41592527.31,3192788.077,835014.2308,967610.7692,3175526.538,12251541.92,37937.30769,8341866.923,8903285.769,255507018.5,136645.3846,316381.1538,2273230.385,1292191.154,3309278.077,334264.6154,74673085.38,48510,1276655.769,2662300.385,1276655.769,5235488.077,88909.61538,96626.53846,49588.84615,2856188.077,350574.2308,178060.3846,237181.1538,888220.3846,481368.4615,396977.3077,122630.0308,39089020.38,12241286.54,1728743.077,2645521.154,4522002.692
374,39370488.44,8505449.219,434402714.5,22217481.17,10359140.86,1247746.328,865783.3594,6702568.125,7100658.125,118126.25,2858294.141,18616729.14,172640909.4,196596.6406,73242.8125,2793890,661936.1719,2062756.953,73365.70313,60768317.5,96771.64063,914996.3281,1127861.797,914996.3281,4768921.953,114968.9063,122540.8594,279141.3281,3247432.031,32057796.72,341305.0781,209112.5781,599290.3125,164663.9844,587776.4063,51281.3125,39942402.5,13398027.5,7416931.328,2793294.453,4233043.203
440,26137288.27,486489.8077,428496255,16279775.77,618483.4615,569180.1923,600384.2308,5253891.923,5027860.962,629684.4231,1023970.962,9970182.115,144229806.3,105790.3846,103372.5,1986866.538,385452.6923,3050234.423,156730.9615,49472260.96,20955,1427281.731,3718446.346,1427281.731,3796377.115,106685.1923,85539.80769,48814.61538,2055760.385,1230493.846,93586.73077,92438.07692,361096.1538,156711.9231,424989.2308,8451.173077,59681312.31,9241834.038,1474960.385,3809107.5,2684740.385
440,22360342.56,50782165.37,353394606.8,11282239.21,5379630.488,1155277.012,904024.939,6764313.171,3509826.341,2662486.951,1500953.354,8154573.659,162689871.2,173258.7195,18651.70732,2733832.683,345218.9024,2252378.11,69375.79268,59969909.33,70423.47561,764933.9634,1054692.073,764933.9634,2553992.744,112507.8659,104451.0366,137069.3902,2568188.11,19367311.65,105262.622,200882.1341,534753.5976,215896.4634,319115.3659,28152.49451,63785644.33,11802428.54,9699094.39,4334138.841,2607336.037
440,22965378.47,675409.3321,346759058.9,1153671.661,1392353.989,1848410.415,1747995.704,15987135.92,3227207.599,1090991.913,1134814.007,14438796.77,155652702.9,115150.9386,60379.87365,2488391.209,424677.2383,2801147.816,131597.3285,57918196.35,25724.51264,1203449.838,2497833.141,1203449.838,4380774.422,112012.3646,97118.88087,46023.68231,2804273.285,1168827.238,75319.22383,116428.6462,275598.2491,274490.9025,539887.148,18470.80289,76491405.87,12724073.88,1994521.191,5167717.798,2870248.863
440,35127181.49,686324.5928,526953204.2,18901196.47,729408.2579,680657.8507,938724.5701,4686715.995,5727844.344,502459.3439,1381050.747,9589104.91,160682114.3,115954.6833,163801.6968,2036200.045,402995.7014,3228227.986,164302.6697,48812667.49,25319.66063,1377461.81,3762125.43,1377461.81,2864382.081,91448.07692,82455.20362,26526.92308,1581636.991,1115510.498,93016.69683,116348.8914,438770.0905,158652.3529,466849.2081,20673.17851,50621590.11,8597006.199,1580906.063,3678733.982,2412159.638
440,32873130.22,922989.1748,412685766,8883094.587,1236640.558,1697597.694,1637491.238,13258821.7,2778342.087,1060515.073,1265187.16,13651531.31,186072584.1,132785.7524,78000.9466,2466355.922,465521.068,3598537.063,125393.5922,66388188.93,28854.97573,1252711.238,2800157.33,1252711.238,4449102.451,113358.2039,94617.88835,38599.58738,2464126.82,1290570.728,75348.93204,402559.9515,282699.466,272373.3495,389035.5583,30112.43592,69229976.72,10973331.41,1957512.743,4418309.126,2841576.335
440,19699703.09,834286.1808,349187765.3,6030874.592,901287.7259,1186200.394,1023533.003,9162855.525,1846214.825,1092698.79,1460995.627,15371139.75,138681430.1,123642.2449,50401.96793,2689189.723,447860.5102,2945258.178,153931.0496,59235493.56,24976.09329,1178823.98,2684728.95,1178823.98,3735492.245,124113.1924,114456.1224,46782.55102,2611520.423,1430140.627,73457.23032,316736.0204,329721.4723,236738.4402,624852.1137,12395.49752,95306300.86,11567926.31,1939637.055,5114574.752,2806286.327
639,19269260.06,283778.0523,353403582,16234554.19,334550.6295,569276.2589,462695.6651,2955716.722,4715908.895,98540.27316,806640.3207,11153554.38,121725096.1,108007.5891,26931.84086,1807231.283,267921.5914,1883556.128,159866.5796,43692563.98,19689.08551,903658.753,1414061.758,903658.753,1810581.057,120234.0499,83261.50831,56713.36105,1785429.727,700930.5819,122174.0736,301143.4204,296478.7411,129145.2257,597673.8955,3881.599525,54474198.56,8651570.416,1470606.983,4989948.029,2614143.207
639,47300261.25,954534.4286,1086433836,46126837.82,917041.7143,1466092.179,1570960.286,11171325,13743607.82,472172.25,2216439.107,39244967.14,359862228,352045.1786,66273.42857,5770209.107,1010371.607,7895613,501847.5,157280121.4,65534.46429,3394257.429,5579880.429,3394257.429,6568394.25,424061.7857,290335.1786,201490.9286,6995736,2506657.607,283490.0357,852116.5714,923549.7857,467168.0357,2295624.964,17025.99643,213476929.3,32915258.36,6072432.536,17133249.96,10895406.11
639,20593144.81,399139.8529,387195423.4,12049080.35,422724.1765,919591.1029,693623.6029,5311389.309,3796414.147,163131.1324,1025026.588,14888904.09,150666182.1,127370.2941,25228.5,2364603.353,373500.3088,2901074.647,165517.3235,58241983.41,20771.07353,1074165.044,1854059.868,1074165.044,2419747.324,139706.9559,107730.9265,78173.11765,2599261.5,987648.2647,106193.5147,201529.0588,386712.4412,200920.5,828472.7647,6667.562647,89025322.94,13128231.31,2201744.471,6909011.029,3920410.676
639,23467042.5,35413268.1,328616447.3,10288592.52,3058515.929,2316678.85,1944274.58,19161412.77,3373538.894,682319.5354,1290786.239,18054126.24,219919984.2,190101.1726,0,2998548.65,502144.646,3580328.429,105663.5177,76442917.17,60882.80973,1413475.42,1792922.854,1413475.42,4433129.469,216547.1681,134205.5973,127820.9735,3691220.111,6002574.425,112570.1549,432885.531,455581.0619,350110.2876,556843.6062,7369.863717,69274646.95,16579952.72,5645252.323,7223314.513,3687437.522
639,27639869.57,395397.4601,542615021,27809528.58,370810.8786,546407.7796,678404.0895,3042635.847,7736666.55,197736.4217,812980.8307,11906313.02,144687967,134257.8115,30698.4345,2586717.125,382982.3962,2774149.217,238895.7508,46389561.81,37842.46006,1069371.326,1991959.601,1069371.326,2829932.923,147699.2492,111880.5431,66725.89457,2545441.821,880495.3514,184863.2588,21014.56869,344403.4984,148621.246,1496157.268,8679.759105,61602132.17,10525103.82,2498182.236,6535588.85,4102224.728
639,12168366.58,47371561.61,212141801.5,10327241.01,11005742.98,405915.5091,348053.4987,2448136.449,3253726.332,127756.0966,715683.4073,3153474.83,93435806.67,107416.7232,0,1231247.663,72680.56136,561275.718,15453.56397,17415304.11,44739.98695,265843.0026,239670.0392,265843.0026,1737770.091,48796.48825,28006.91906,59530.10444,933601.8799,9026222.467,53895.5483,77182.51958,892217.0366,16970.01305,95019.75196,985.0758486,3398874.204,3320914.504,6328492.715,1537451.906,695917.4413
649,20403842.61,42952132.83,407885739.1,18163243.04,16262263.7,1011435.652,637832.6087,1972797.391,5779555.435,195847.8261,5064832.826,6687722.609,146158391.7,423246.5217,86330.86957,3037843.696,660774.7826,2083813.696,209564.3478,55650554.35,79673.47826,1160028.913,1478249.348,1160028.913,1101066.522,259860.6522,123699.7826,167819.3478,34951.30435,107148847.8,162525,327245.2174,474489.7826,486821.7391,457100.2174,8716.5375,22150525.43,6093945,6967175.217,3290386.957,1761532.826
649,4866607.653,1364628.946,285624912,17271791.05,2681252.993,1190249.014,44765.88435,1607102.245,5089436.973,95861.63265,3255500.884,8002902.959,98379074.69,175943.8776,1764982.551,3177447.653,4294936.156,952113.6054,424956.9388,42173368.81,25537.58503,6484558.741,7895426.973,6484558.741,2352132.993,1254782.347,267019.0136,108760.068,5540347.177,20717932.79,421405.1361,257178.5034,216260.7483,164465.3401,411544.0476,8774.915217,33723276.19,21695641.6,1608880.204,4821874.694,6545400.34
649,26590093.38,249140.0901,396082277.5,15989997.39,2251804.55,767407.0721,461522.3423,2385673.063,4590494.73,231965.7207,6392266.486,8316564.369,139730434.8,235301.3964,148819.0991,3349601.577,865951.2162,2175727.162,343492.8378,80989802.07,36665.18018,1755366.622,4658461.847,1755366.622,6513806.081,323974.7748,233399.1892,54689.81982,5265701.982,1066277.072,95873.42342,182023.2432,290018.4685,304462.1622,1054515,24988.68129,27666835.32,8174994.369,907063.964,4747811.081,2902005.135
649,4182095.187,331831.2083,211123888,8233610.216,446785.9627,1281072.642,364932.6719,1106725.668,2661674.322,9506.463654,1568152.868,8477733.065,83836718.49,138999.0472,6344840.629,2145340.697,9715488.183,3089001.631,626581.5029,20942767.96,20521.26719,14222742.94,7125857.593,14222742.94,731705.3045,2559107.21,191919.3124,339019.8919,2755380.383,14481382.22,450401.6994,101811.1591,95606.64047,133008.4774,493152.2593,794.6756757,22629794.41,32270646.51,4223882.976,2255278.35,10841401.5
649,24656574.13,103128.587,316417895.9,20162483.48,4026706.63,380253.2609,254358.2609,681980.8696,5796252.717,24068.47826,2150057.609,2247906.196,87484122.72,138004.5652,80355,1080925.761,326929.5652,822693.587,218858.1522,23892086.09,18110.54348,1032982.5,3518858.152,1032982.5,5410486.304,189602.9348,101162.9348,43915.1087,2384303.804,801810.3261,81370.1087,0,191518.3696,152015.2174,829494.4565,12499.92996,6282062.935,2220060.652,339803.1522,3640373.478,870636.8478
649,143309.6739,292957.5,1751668.696,22124.34783,44499.78261,65817.06522,0,27494.02174,9254.347826,0,0,0,51297.06522,0,0,53886.84783,0,0,0,13282.5,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
H37Rv,14201746.91,398011.4885,207463482.6,3184345.916,441100.4198,766710.4962,278410.8397,2044742.977,686504.1221,364542.5191,1158713.55,9094844.924,130446631.6,122256.1832,48963.43511,3789133.473,511876.1832,1182885.84,179888.2061,100303097.8,35085.38168,1254880.84,2279940.191,1254880.84,2569014.733,201284.8855,140817.2137,43481.48855,2753248.779,350211.8702,155203.2824,401747.7099,767061.4885,213431.0687,352936.6794,15945.30611,117259894.6,21053930.73,2254206.908,4937746.756,9044606.832
H37Rv,20914081.59,435996.8489,260274933.5,3722617.524,883327.2347,1050978.376,639562.8135,3278240.161,1465393.65,460344.6945,836201.4309,11297680.51,164128238.2,113732.2186,33224.42122,3147128.296,398552.9904,1709700.82,133732.2347,96708195.63,28147.09003,1098045.82,1944361.061,1098045.82,2639914.582,168386.4791,105491.7685,53702.99035,2599044.984,475308.2315,64721.38264,260753.0547,584114.8553,265538.5852,227610.3376,17508.97235,96226450.27,20476649.08,2355683.248,4250146.399,7903653.859
H37Rv,16836270.88,557886.2332,266956316.5,5206334.799,713674.5442,1026190.295,457117.2386,2843024.759,1723057.842,546412.319,758850.0402,15007276.41,162760309.9,108150.6434,27823.51206,3503602.038,414647.2118,2102169.008,150255.7239,100029472.2,37107.74799,1260957.869,2580005.469,1260957.869,2985577.681,210768.6997,120787.5201,57374.437,2955681.273,538699.7855,68799.69169,307430.8311,644451.5147,312647.1314,324568.7131,19315.59008,129095227.6,29232900.92,2278379.718,5405765.831,9436228.794
H37Rv,19233464.81,401210.823,240557879.2,3966400.668,947599.0994,1346053.602,621062.5621,3903461.879,1101507.717,974519.7205,640384.9845,14230214.39,165906269.7,125201.1801,39636.89441,3618681.615,469870.8075,2228803.09,144918.1677,118130678.5,30556.25776,1506325.994,2398381.584,1506325.994,2524304.255,205703.7578,118020.0932,73434.2236,3248455.435,611525.3571,88343.15217,282209.9534,600133.6957,370130.3571,281522.2826,14313.36056,118502629.5,28136451.29,2028493.602,5614229.022,9200088.447
H37Rv,19580637.11,418842.2516,269401306.8,4606785.652,588319.2857,845310.8851,471556.1646,2071394.115,1169880.233,247758.7733,919725.8851,7338687.578,133033981.7,105292.5466,48238.41615,3107449.099,433198.7888,1359869.022,164302.5932,93125744.81,29992.59317,999568.9752,1656367.873,999568.9752,2154438.82,154996.4907,111188.4783,55864.79814,2393821.537,295867.5466,85090.80745,306329.1615,665248.2298,194312.0963,386910.6522,18938.28494,91213225.2,17588206.77,2357504.627,4504999.099,7954632.065
H37Rv,28154280,970876.3578,261057998.1,4911108.362,836269.0733,1339290.065,703187.3276,3358829.612,1671888.815,560381.25,724771.7457,9913029.31,182444152,129795.9698,0,3416573.211,409853.5991,1443402.22,140044.4612,105473788.5,30964.52586,1122100.28,2157604.72,1122100.28,2650369.397,160197.2198,97720.53879,60450.45259,2706438.815,473089.1379,84710.43103,157693.7716,645060.3879,288530.2371,201308.5345,16498.5847,76309609.66,22168762.05,2258212.047,4381988.922,7176118.836
